Id,SalePrice
1461,121410.5234375
1462,159638.484375
1463,180206.609375
1464,188579.5
1465,183607.078125
1466,177961.1875
1467,180457.75
1468,172186.96875
1469,175834.9375
1470,121726.9609375
1471,195737.078125
1472,95102.53125
1473,96958.3515625
1474,148999.3125
1475,125168.75
1476,414875.59375
1477,243765.59375
1478,294866.46875
1479,285096.125
1480,447231.09375
1481,308620.5625
1482,202239.546875
1483,180531.421875
1484,174419.75
1485,177800.640625
1486,192746.234375
1487,330344.4375
1488,223520.734375
1489,205826.828125
1490,214358.921875
1491,188169.265625
1492,88289.8515625
1493,174682.875
1494,291849.75
1495,272453.78125
1496,228992.96875
1497,179125.171875
1498,162017.640625
1499,166838.203125
1500,164272.34375
1501,170944.359375
1502,146935.1875
1503,281189.28125
1504,228699.78125
1505,214582.4375
1506,190334.09375
1507,254187.84375
1508,193131.609375
1509,164523.546875
1510,147879.40625
1511,142947.421875
1512,189685.890625
1513,144493.359375
1514,171737.5
1515,190135.984375
1516,149347.625
1517,163864.890625
1518,129088.328125
1519,221035.59375
1520,138928.5625
1521,136146.734375
1522,170242.125
1523,109922.2734375
1524,121642.515625
1525,126631.7109375
1526,122713.40625
1527,105403.640625
1528,131268.65625
1529,147897.890625
1530,172776.515625
1531,125183.34375
1532,106488.4296875
1533,150499.171875
1534,121581.03125
1535,149438.875
1536,110141.7265625
1537,78792.125
1538,158597.578125
1539,223506.921875
1540,109048.4609375
1541,139014.796875
1542,131312.09375
1543,213475.703125
1544,75267.71875
1545,102663.8359375
1546,125740.6328125
1547,131298.046875
1548,130471.078125
1549,123675.203125
1550,144720.515625
1551,117249.921875
1552,141178.453125
1553,154746.234375
1554,117962.7578125
1555,172952.46875
1556,89480.1015625
1557,117778.546875
1558,99516.484375
1559,81406.1953125
1560,133275.609375
1561,143607.390625
1562,126709.90625
1563,123673.515625
1564,149399.25
1565,146127.6875
1566,244387.203125
1567,71360.921875
1568,227696.265625
1569,144691.890625
1570,137399.46875
1571,127233.3046875
1572,151049.578125
1573,252711.1875
1574,122079.2734375
1575,220150.625
1576,235221.421875
1577,198395.796875
1578,160918.03125
1579,143461.390625
1580,186044.28125
1581,138918.40625
1582,128255.0390625
1583,319006.5625
1584,228082.46875
1585,140843.75
1586,69946.1328125
1587,93043.6875
1588,145293.515625
1589,103760.34375
1590,139636.59375
1591,95493.484375
1592,133056.140625
1593,131183.796875
1594,140799.90625
1595,108507.25
1596,243909.53125
1597,189526.84375
1598,204295.875
1599,183648.390625
1600,176537.421875
1601,82310.4765625
1602,103555.125
1603,86632.5234375
1604,277360.0625
1605,245539.875
1606,171796.8125
1607,161306.96875
1608,219847.546875
1609,194549.875
1610,155519.484375
1611,141375.90625
1612,175835.203125
1613,158072.265625
1614,123513.0546875
1615,91810.875
1616,75991.9296875
1617,90232.84375
1618,124802.6484375
1619,137912.4375
1620,159021.0
1621,136717.359375
1622,133372.546875
1623,291665.15625
